airport,latitude,longitude
SGW,56.8863,-134.158
SGY,59.4601,-135.316
SHG,66.8881,-157.162
SHH,66.2496,-166.089
SHX,62.6923,-159.569
SIT,57.0471,-135.362
SKK,64.3711,-161.224
SKW,61.9653,-151.191
SLQ,61.7005,-157.166
SMK,63.4901,-162.11
SMU,61.812,-147.507
SNP,57.1673,-170.22
SOL,64.5605,-164.446
SOV,59.4424,-151.704
SRV,61.7897,-156.589
STG,56.5783,-169.662
SVA,63.6864,-170.493
SVS,66.0172,-149.055
SVW,61.0974,-155.574
SWD,60.1269,-149.419
SXP,62.5206,-164.848
SXQ,60.4757,-151.034
SYA,52.7123,174.114
SYB,58.3733,-152.202
TAL,65.1744,-152.109
TCT,62.9932,-156.029
TEH,63.1339,-142.519
TEK,60.8714,-146.69
TKA,62.3205,-150.094
TKE,57.7797,-135.218
TKI,55.9371,-133.327
TKJ,63.3295,-142.954
TKL,58.4897,-133.943
TLA,65.2404,-166.339
TLF,63.3939,-153.269
TLJ,62.8944,-155.977
TLT,61.0968,-160.969
TNC,65.5631,-167.922
TNK,60.5755,-165.272
TOG,59.0528,-160.397
TSG,63.3744,-143.336
TWA,59.0756,-160.273
TWE,65.6793,-164.799
TYE,61.0767,-151.138
UGB,57.4254,-157.74
UGI,57.7304,-153.321
UGS,57.5279,-157.399
UMM,63.3315,-149.127
UMT,69.3711,-152.136
UNK,63.8884,-160.799
UTO,65.9928,-153.704
UUK,70.3308,-149.598
VAK,61.5409,-165.6
VDZ,61.1339,-146.248
VEE,67.0087,-146.366
WAA,65.6226,-168.095
WBB,63.516,-162.278
WBQ,66.3622,-147.407
WCR,67.5045,-148.483
WFB,55.3499,-131.677
WHD,55.9033,-130.01
WKK,59.2826,-158.618
WLK,66.6001,-159.986
WLR,55.6013,-131.637
WMK,55.7396,-132.255
WMO,64.6892,-163.413
WNA,60.6903,-161.979
WOW,61.7542,-150.052
WRG,56.4843,-132.37
WSB,55.5296,-133.642
WSF,61.1821,-149.863
WSM,67.4046,-150.123
WSN,58.7034,-157.008
WTK,67.5661,-162.975
WTL,60.3353,-162.667
WWA,61.5717,-149.54
WWP,56.1163,-133.122
WWT,60.9391,-164.641
WYB,55.9163,-131.801
YAK,59.5033,-139.66
ZNC,60.9807,-159.994
AVW,32.4096,-111.218
AZA,33.3078,-111.655
BGT,34.5959,-113.17
BSQ,31.364,-109.883
BXK,33.4204,-112.686
CFT,32.9528,-109.21
CGZ,32.9549,-111.767
CTW,34.73,-112.035
CWX,32.2454,-109.895
DGL,31.3426,-109.506
DMA,32.1665,-110.883
DUG,31.469,-109.604
DVT,33.6883,-112.083
FHU,31.5885,-110.344
FLG,35.1385,-111.671
GCN,35.9524,-112.147
GCW,35.9904,-113.816
GLB,33.3531,-110.667
GYR,33.4225,-112.376
HBK,34.9407,-110.138
HII,34.5711,-114.358
IFP,35.1574,-114.56
IGM,35.2595,-113.938
INW,35.0219,-110.723
LGF,32.86,-114.397
LUF,33.535,-112.383
MSC,33.4608,-111.728
MVM,36.7164,-110.228
MYH,36.8116,-111.642
MZJ,32.5106,-111.328
OLS,31.4177,-110.848
PGA,36.9261,-111.448
PGS,35.5713,-113.293
PHX,33.4343,-112.012
PJB,34.2568,-111.339
PRC,34.6545,-112.42
PXL,35.7917,-110.423
SAD,32.8548,-109.635
SCF,33.6229,-111.911
SDX,34.8486,-111.788
SJN,34.5186,-109.379
SOW,34.2655,-110.006
TBC,36.0928,-111.383
TUS,32.1161,-110.941
TYZ,34.4528,-110.115
VLE,35.6506,-112.148
WTR,33.8125,-109.987
YUM,32.6566,-114.606
AGO,33.228,-93.217
ARG,36.1247,-90.9251
AWM,35.1351,-90.2344
BVX,35.7262,-91.6473
BYH,35.9643,-89.944
CDH,33.6228,-92.7634
CKK,36.2649,-91.5626
CRT,33.1783,-91.8802
ELD,33.221,-92.8133
FCY,34.942,-90.775
FLP,36.2909,-92.5903
FSM,35.3366,-94.3674
FYV,36.0051,-94.1701
HEE,34.5766,-90.6762
HKA,35.9404,-89.8308
HOT,34.478,-93.0962
HRO,36.2615,-93.1547
JBR,35.8317,-90.6464
LIT,34.7294,-92.2243
LRF,34.9169,-92.1497
MPJ,35.1389,-92.9092
MXA,35.8944,-90.1546
PBF,34.1731,-91.9356
PGR,36.0629,-90.5078
ROG,36.3723,-94.1069
SGT,34.5995,-91.575
SLG,36.1919,-94.49
SPZ,36.1764,-94.1193
SRC,35.2106,-91.7375
TXK,33.4537,-93.991
WMH,36.3689,-92.4705
XNA,36.2819,-94.3068
ACV,40.9781,-124.109
AHC,40.2662,-120.153
APC,38.2132,-122.281
APV,34.5753,-117.186
AUN,38.9548,-121.082
AVX,33.4049,-118.416
BAB,39.1361,-121.437
BFL,35.4336,-119.057
BIH,37.3731,-118.364
BLH,33.6192,-114.717
BLU,39.275,-120.71
BNG,33.9231,-116.851
BUR,34.2007,-118.359
BWC,32.9929,-115.517
BXS,33.259,-116.321
BYS,35.2805,-116.63
BZF,40.5749,-122.408
CCB,34.1116,-117.688
CCR,37.9897,-122.057
CEC,41.7802,-124.237
CIC,39.7954,-121.858
CKE,38.9906,-122.901
CLD,33.1283,-117.28
CLG,36.1631,-120.294
CLR,33.1315,-115.521
CNO,33.9747,-117.637
COA,38.0304,-120.415
CPM,33.89,-118.244
CRO,36.1025,-119.595
CXL,32.6695,-115.513
DAG,34.8537,-116.787
DTH,36.4638,-116.881
EDW,34.9054,-117.884
EED,34.7663,-114.623
EKA,40.8034,-124.113
EMT,34.0861,-118.035
FAT,36.7762,-119.718
FCH,36.7324,-119.82
FOB,39.4743,-123.796
FUL,33.872,-117.98
GNF,39.9439,-120.945
HAF,37.5134,-122.501
HHR,33.9228,-118.335
HLI,36.8933,-121.41
HMT,33.734,-117.023
HWD,37.6592,-122.122
IPL,32.8342,-115.579
IYK,35.6588,-117.83
KIC,36.228,-121.122
LAX,33.9425,-118.408
LGB,33.8177,-118.152
LPC,34.6656,-120.468
LSN,37.0629,-120.869
LVK,37.6934,-121.82
MAE,36.9886,-120.112
MCC,38.6676,-121.401
MCE,37.2847,-120.514
MER,37.3805,-120.568
MHR,38.5539,-121.298
MHS,41.2632,-122.272
MHV,35.0594,-118.152
MIT,35.5074,-119.192
MMH,37.6241,-118.838
MOD,37.6258,-120.954
MRY,36.587,-121.843
MYF,32.8157,-117.14
MYV,39.0978,-121.57
NJK,32.8292,-115.672
NKX,32.8684,-117.143
NLC,36.333,-119.952
NLN,40.7193,-123.928
NOT,38.1436,-122.556
NRC,37.408,-121.109
NRS,32.5667,-117.117
NTD,34.1203,-119.121
NUQ,37.4161,-122.049
NVN,39.8185,-120.353
NZY,32.6992,-117.215
OAK,37.7213,-122.221
OAR,36.6819,-121.762
OCN,33.2173,-117.354
ODC,37.7563,-120.8
ONT,34.056,-117.601
OVE,39.4878,-121.622
OXR,34.2008,-119.207
PAO,37.4611,-122.115
PMD,34.6294,-118.085
POC,34.0916,-117.782
PRB,35.6729,-120.627
PSP,33.8297,-116.507
PTV,36.0296,-119.063
PVF,38.7242,-120.753
PYS,39.7105,-121.6163
RAL,33.9519,-117.445
RBF,34.2638,-116.856
RBK,33.5742,-117.128
RBL,40.1507,-122.252
RDD,40.509,-122.293
RHV,37.3329,-121.819
RIR,33.9897,-117.411
RIV,33.8807,-117.259
RMY,37.5109,-120.04
ROF,41.7304,-122.546
SAC,38.5125,-121.493
SAN,32.7336,-117.19
SAS,33.2414,-115.952
SBA,34.4262,-119.84
SBD,34.0954,-117.235
SBP,35.2368,-120.642
SCK,37.8942,-121.238
SDM,32.5723,-116.98
SEE,32.8262,-116.972
SFO,37.619,-122.375
SIY,41.7781,-122.473
SJC,37.3626,-121.929
SMF,38.6954,-121.591
SMO,34.0158,-118.451
SMX,34.8989,-120.457
SNA,33.6757,-117.868
SNS,36.6628,-121.606
SPA,34.9157,-81.9565
SQA,34.6068,-120.076
SQL,37.5119,-122.25
SRF,38.06,-122.51
STS,38.509,-122.813
SUM,33.995,-80.3613
SUU,38.2627,-121.927
SVE,40.3757,-120.573
SZN,34.0606,-119.915
SZP,34.3472,-119.061
TKF,39.32,-120.14
TLR,36.1563,-119.326
TNP,34.1316,-115.946
TOA,33.8034,-118.34
TRH,35.8125,-117.327
TRM,33.6267,-116.16
TSP,35.135,-118.439
TVL,38.8939,-119.995
UDD,33.7484,-116.275
UKI,39.126,-123.201
VBG,34.7373,-120.584
VCV,34.5975,-117.383
VIS,36.3187,-119.393
VNY,34.2098,-118.49
WHP,34.2593,-118.413
WJF,34.7411,-118.219
WLW,39.5164,-122.218
WVI,36.9357,-121.79
AFF,38.9697,-104.813
AKO,40.1756,-103.222
ALS,37.4349,-105.867
AMK,37.2032,-107.869
APA,39.5701,-104.849
ASE,39.2232,-106.869
BFK,39.7017,-104.752
BJC,39.9088,-105.117
CEZ,37.303,-108.628
CIG,40.4952,-107.522
CNE,38.428,-105.106
COS,38.8058,-104.701
CSE,38.8519,-106.928
DEN,39.8617,-104.673
DRO,37.1515,-107.754
EGE,39.6426,-106.918
FCS,38.6784,-104.757
FNL,40.4518,-105.011
GJT,39.1224,-108.527
GUC,38.5339,-106.933
GWS,39.5083,-107.311
GXY,40.4374,-104.633
HDN,40.4812,-107.218
LAA,38.0697,-102.688
LIC,39.2748,-103.666
LXV,39.2203,-106.317
MTJ,38.5098,-107.894
PGO,37.2863,-107.056
PUB,38.2891,-104.497
RIL,39.5263,-107.727
RNG,40.0932,-108.763
SBS,40.5163,-106.866
SLT,38.5383,-106.049
STK,40.6153,-103.265
TAD,37.2594,-104.341
TEX,37.9538,-107.908
WBU,40.0394,-105.226
WPO,38.8317,-107.646
BDL,41.9392,-72.6833
BDR,41.1635,-73.1262
DXR,41.3715,-73.4822
GON,41.3301,-72.0451
HFD,41.7367,-72.6494
HVN,41.2637,-72.8868
OXC,41.4786,-73.1352
DOV,39.1295,-75.466
GED,38.6892,-75.3589
ILG,39.6787,-75.6065
AAF,29.7275,-85.0275
APF,26.1526,-81.7753
AVO,27.5912,-81.5278
BCT,26.3785,-80.1077
BOW,27.9434,-81.7834
CDK,29.1342,-83.0505
CEW,30.7788,-86.5221
CLW,27.9767,-82.7587
COF,28.2349,-80.6101
COI,28.3416,-80.6855
CRG,30.3363,-81.5144
CTY,29.6355,-83.1048
DAB,29.1799,-81.0581
DSI,30.4001,-86.4715
ECP,30.3571,-85.7954
EGI,30.6504,-86.5229
EYW,24.5561,-81.7596
FLL,26.0726,-80.1527
FMY,26.5866,-81.8633
FPR,27.4951,-80.3683
FPY,30.0693,-83.5806
FXE,26.1973,-80.1707
GIF,28.0629,-81.7533
GNV,29.6901,-82.2718
HST,25.4886,-80.3836
HWO,26.0012,-80.2407
IMM,26.4332,-81.401
ISM,28.2898,-81.4371
JAX,30.4941,-81.6879
KYO,28.2213,-82.3745
LAL,27.9889,-82.0186
LCQ,30.182,-82.5769
LEE,28.8231,-81.8087
LNA,26.593,-80.0851
MCF,27.8493,-82.5212
MCO,28.4294,-81.309
MIA,25.7932,-80.2906
MLB,28.1028,-80.6453
MPB,25.7783,-80.1703
MRK,25.995,-81.6725
MTH,24.7261,-81.0514
NEN,30.3539,-81.8719
NIP,30.2358,-81.6806
NPA,30.3527,-87.3186
NQX,24.5758,-81.6889
NRB,30.3911,-81.4247
NSE,30.7242,-87.0219
NUN,30.4694,-87.3381
OBE,27.2628,-80.8498
OCA,25.3254,-80.2748
OCF,29.1726,-82.2242
OPF,25.907,-80.2784
ORL,28.5455,-81.3329
PAM,30.0696,-85.5754
PBI,26.6832,-80.0956
PGD,26.9202,-81.9905
PHK,26.785,-80.6934
PIE,27.9102,-82.6874
PNS,30.4734,-87.1866
PPM,26.2471,-80.1111
RSW,26.5362,-81.7552
SEF,27.4564,-81.3424
SFB,28.7776,-81.2375
SPG,27.7651,-82.627
SRQ,27.3954,-82.5544
SUA,27.1817,-80.2211
TIX,28.5148,-80.7992
TLH,30.3965,-84.3503
TMB,25.6479,-80.4328
TNT,25.8618,-80.897
TPA,27.9755,-82.5332
TPF,27.9156,-82.4493
UST,29.9592,-81.3398
VNC,27.0716,-82.4403
VPS,30.4832,-86.5254
VQQ,30.2187,-81.8767
VRB,27.6556,-80.4179
ZPH,28.2282,-82.1559
ABY,31.5355,-84.1945
AGS,33.3699,-81.9645
AHN,33.9486,-83.3263
ATL,33.6367,-84.4281
AYS,31.2491,-82.3955
BGE,30.9715,-84.6374
BQK,31.2588,-81.4665
CSG,32.5163,-84.9389
DBN,32.5644,-82.9853
DNL,33.4665,-82.0394
DNN,34.7229,-84.8702
FTY,33.7791,-84.5214
GVL,34.2726,-83.8302
LGC,33.0089,-85.0726
LIY,31.8891,-81.5623
LSF,32.3373,-84.9913
LZU,33.9781,-83.9624
MAC,32.8221,-83.562
MCN,32.6928,-83.6492
MGE,33.9154,-84.5163
MGR,31.0849,-83.8033
MLJ,33.1542,-83.2407
MQW,32.0946,-82.8822
MUL,31.1378,-83.7042
PDK,33.8756,-84.302
PIM,32.8407,-84.8824
RMG,34.3506,-85.158
SAV,32.1276,-81.2021
SSI,31.1518,-81.3913
SVN,32.01,-81.1457
SYV,31.5585,-83.8957
TBR,32.4827,-81.7369
TMA,31.429,-83.4885
TOC,34.5938,-83.2958
TVI,30.9016,-83.8813
VAD,30.9678,-83.193
VDI,32.1927,-82.3712
VLD,30.7825,-83.2767
WDR,33.9829,-83.6674
WRB,32.6401,-83.5919
BKH,22.0228,-159.785
BSF,19.7601,-155.554
FTI,-14.2172,-169.425
HDH,21.5795,-158.197
HHI,21.4835,-158.04
HNL,21.3206,-157.924
HNM,20.7956,-156.014
HPV,22.2092,-159.446
ITO,19.7214,-155.048
JHM,20.9629,-156.673
JRF,21.3074,-158.07
KOA,19.7388,-156.046
LIH,21.976,-159.339
LNY,20.7856,-156.951
LUP,21.211,-156.974
MDY,28.2017,-177.381
MKK,21.1529,-157.096
MUE,20.0013,-155.668
NGF,21.4505,-157.768
OGG,20.8986,-156.43
PAK,21.8969,-159.603
UPP,20.2653,-155.86
WKL,19.9205,-155.861
BOI,43.5644,-116.223
BYI,42.5426,-113.772
CHL,44.523,-114.218
COE,47.7743,-116.82
DBS,44.1666,-112.226
GNG,42.9172,-114.765
ICS,44.4938,-116.016
IDA,43.5136,-112.071
IDH,45.9426,-116.123
LWS,46.3745,-117.015
MLD,42.1666,-112.297
MUO,43.0436,-115.872
MYL,44.8897,-116.101
PIH,42.9098,-112.596
RXE,43.8339,-111.805
SMN,45.1238,-113.881
SUN,43.5044,-114.296
TWF,42.4818,-114.488
ALN,38.8903,-90.046
AUZ,41.7719,-88.4757
BDF,41.2309,-89.6157
BLV,38.5452,-89.8352
BMI,40.4771,-88.9159
CIR,37.0645,-89.2196
CMI,40.0392,-88.2781
CPS,38.5707,-90.1562
DEC,39.8346,-88.8657
DNV,40.1992,-87.5959
DPA,41.9078,-88.2486
DVN,41.6103,-90.5883
ENL,38.5151,-89.0911
EOK,40.4599,-91.4285
FEP,42.2462,-89.582
GBG,40.938,-90.4311
GRE,38.8362,-89.3784
HSB,37.8113,-88.5503
IJX,39.7707,-90.238
IKK,41.0714,-87.8463
JOT,41.5178,-88.1755
LOT,41.6073,-88.0962
LWV,38.7643,-87.6055
MDH,37.7781,-89.252
MDW,41.7861,-87.7525
MLI,41.4485,-90.5075
MQB,40.5201,-90.6524
MTO,39.4779,-88.2792
MVN,38.3219,-88.8535
MWA,37.755,-89.0111
OLY,38.7207,-88.1749
ORD,41.9786,-87.9047
PIA,40.6642,-89.6933
RFD,42.1953,-89.0972
SAR,38.1489,-89.6987
SLO,38.6429,-88.9642
SPI,39.8441,-89.6779
SQI,41.7428,-89.6763
UGN,42.4222,-87.8679
UIN,39.9427,-91.1946
VLA,38.9915,-89.1662
VYS,41.3519,-89.1531
AID,40.1086,-85.613
ANQ,41.6397,-85.0835
BFR,38.84,-86.4454
BMG,39.146,-86.6167
CEV,39.6985,-85.1297
CLU,39.2619,-85.8963
EKI,41.7194,-86.0032
EVV,38.037,-87.5324
FRH,38.5062,-86.6369
FWA,40.9785,-85.1951
GBI,26.6319,-78.3592
GFD,39.7903,-85.7361
GSH,41.5264,-85.7929
GUS,40.6481,-86.1521
HLB,39.3445,-85.2583
HNB,38.249,-86.9537
IND,39.7173,-86.2944
KKT,40.7587,-87.4282
LAF,40.4123,-86.9369
LPO,41.5725,-86.7345
MDN,38.7589,-85.4655
MGC,41.7033,-86.8212
MIE,40.2423,-85.3959
MZZ,40.4899,-85.6797
OKK,40.5282,-86.059
OTN,38.8514,-87.4997
PLY,41.3651,-86.3005
RCR,41.0656,-86.1817
RID,39.7572,-84.8428
RNZ,40.9479,-87.1826
SBN,41.7087,-86.3173
SER,38.9236,-85.9074
SIV,39.1147,-87.4483
SMD,41.1434,-85.1528
VPZ,41.454,-87.0071
AIO,41.4073,-95.0469
ALO,42.5571,-92.4003
AMW,41.992,-93.6218
AXG,43.0779,-94.272
BNW,42.0496,-93.8476
BRL,40.7832,-91.1255
CBF,41.2592,-95.7606
CCY,43.0726,-92.6108
CID,41.8847,-91.7108
CIN,42.0462,-94.789
CSQ,41.0214,-94.3633
CWI,41.8311,-90.3291
DBQ,42.402,-90.7095
DEH,43.2755,-91.7394
DNS,41.9864,-95.3807
DSM,41.534,-93.6631
EBS,42.4366,-93.8689
EFW,42.0102,-94.3426
EST,43.4074,-94.7464
FFL,41.0533,-91.9789
FMS,40.6593,-91.3268
FOD,42.5515,-94.1926
FXY,43.2347,-93.6241
HPT,42.7237,-93.2263
HUD,42.7361,-94.2452
ICL,40.7218,-95.0264
IDG,42.3325,-95.445
IFA,42.4708,-93.27
IOW,41.6392,-91.5465
LRJ,42.778,-96.1937
MCW,43.1578,-93.3313
MIW,42.1128,-92.9178
MPZ,40.9466,-91.5111
MUT,41.3678,-91.1482
MXO,42.2263,-91.1635
OMA,41.3032,-95.8941
OOA,41.0048,-93.3096
OTM,41.1066,-92.4479
POH,36.2456,-90.9553
PRO,41.828,-94.1599
RTL,43.3875,-95.1392
SLB,42.5973,-95.2407
SPW,43.1655,-95.2028
SUX,42.4026,-96.3844
TNU,41.6744,-93.0217
UKN,43.2805,-91.4695
ANY,37.1585,-98.0796
BEC,37.6945,-97.215
CBK,39.4275,-101.047
CEA,37.6486,-97.2506
CFV,37.094,-95.5719
CNK,39.5493,-97.6523
CNU,37.6688,-95.4851
DDC,37.7634,-99.9656
EDK,37.7741,-96.8176
EMP,38.3321,-96.1912
EWK,38.0582,-97.2745
FLV,39.3683,-94.9147
FOE,38.9509,-95.6636
FRI,39.0553,-96.7645
FSK,37.7984,-94.7694
GBD,38.3443,-98.8592
GCK,37.9275,-100.724
GLD,39.3706,-101.699
HLC,39.3788,-99.8315
HUT,38.0655,-97.8606
HYS,38.8422,-99.2732
IAB,37.6219,-97.2682
ICT,37.6499,-97.4331
IDP,37.1584,-95.7784
JCI,38.8309,-94.8903
LBL,37.0442,-100.96
LWC,39.0112,-95.2166
LYO,38.3428,-98.2269
MHK,39.141,-96.6708
MPR,38.3524,-97.6913
OJC,38.8476,-94.7376
PPF,37.3299,-95.5062
PTS,37.4478,-94.7311
PTT,37.7016,-98.7469
RSL,38.8721,-98.8118
SLN,38.791,-97.6522
TOP,39.0687,-95.6225
WLD,37.1686,-97.0376
BRY,37.8143,-85.4996
BWG,36.9645,-86.4197
CEY,36.6646,-88.3728
CVG,39.0488,-84.6678
EKX,37.686,-85.925
FFT,38.1825,-84.9047
FTK,37.9071,-85.9721
GLW,37.0318,-85.9537
HOP,36.6686,-87.4962
LEX,38.0365,-84.6059
LOU,38.228,-85.6637
LOZ,37.0822,-84.0849
OWB,37.7401,-87.1668
PAH,37.0608,-88.7738
PVL,37.5618,-82.5664
SDF,38.1744,-85.736
SME,37.0534,-84.6159
AEX,31.3274,-92.5498
ARA,30.0378,-91.8839
BAD,32.5018,-93.6627
BCS,29.8661,-90.0222
BTR,30.5332,-91.1496
BXA,30.8137,-89.865
CWF,30.2106,-93.1432
DRI,30.8317,-93.3399
